Chain,RMSE_Mean_Sep,RMSE_Max_Sep,MAE_Mean_Sep,MAE_Max_Sep
1.000000000000000000e+00,2.027920809133120983e+01,2.637729519710355675e+01,9.246733550203396490e+00,1.179807873451714251e+01
2.000000000000000000e+00,2.084414394970773188e+01,2.787212481817735465e+01,9.459781545350013587e+00,1.237498473344510153e+01
3.000000000000000000e+00,2.015907126787227455e+01,2.373262135235556158e+01,8.852047812980318398e+00,1.246281791389371030e+01
4.000000000000000000e+00,2.078950233829731786e+01,2.250869882395332056e+01,9.366834621695034002e+00,8.891933738398078546e+00
5.000000000000000000e+00,2.061396960955829272e+01,4.001793314644658750e+01,9.405322378503212732e+00,1.262154893921943355e+01
6.000000000000000000e+00,2.070838707300906023e+01,2.469680709853536626e+01,9.771777425252816229e+00,1.216428079366304438e+01
7.000000000000000000e+00,2.012118533522427200e+01,2.858767891671492478e+01,8.746919220317456833e+00,1.376881326703498942e+01
8.000000000000000000e+00,1.964951789338697452e+01,2.737131347790976221e+01,8.396357416938329266e+00,1.322074735023593917e+01
