Test_Name, Test_Case, RMSE_Mean, RMSE_Max, MAE_Mean, MAE_Max, Time
hardboundaries,False,12.188533580729212,12.84169508650761,5.124331456182391,5.63928340287813,325.5853171348572
hardboundaries,True,12.342374851035126,12.566026370888231,5.182488116588292,5.354964077766755,330.5988669395447
crossover_burnin,None,12.395872977304096,12.543694044163018,5.170381821220549,5.371922935346111,333.43879199028015
crossover_burnin,0.1,12.340261357802534,12.574980355463538,5.191934154797282,5.297922540176472,294.4551649093628
crossover_burnin,0.2,12.340843219785443,13.009261346552348,5.176435319031792,5.530273687520636,292.5750846862793
crossover_burnin,0.5,12.32691204789795,12.530313357386493,5.151655174524045,5.228283526970741,294.7195680141449
adapt_crossover,False,12.351359164237495,12.568347952726633,5.147903905228646,5.215512187663842,337.8331620693207
adapt_crossover,True,12.341256062504767,12.695849576076135,5.166431795783425,5.271352853577113,337.1627690792084
nCR,1,12.35428452080605,12.546312775106626,5.179511767320515,5.215081472822055,337.0586030483246
nCR,3,12.389319360288601,12.897085671555464,5.199022732253334,5.52040705921962,338.65465807914734
nCR,5,12.360996978659083,12.629840668283911,5.160319774186942,5.331690397036221,337.04708909988403
snooker,0,12.241400218861969,12.572742393584731,5.128559070518153,5.3243376685602435,338.5751690864563
snooker,0.2,12.362929352262773,12.571093180777114,5.189434604460025,5.208001343122476,339.663941860199
snooker,0.5,12.318036072621027,12.54720608289177,5.190296441865079,5.3936398852959915,339.3991219997406
snooker,0.8,12.41116470467255,12.5628138881278,5.154778550919119,5.376866189524294,338.58602595329285
snooker,1,12.505219930773427,12.639396650719712,5.209258169514016,5.2472633686906125,338.95976185798645
p_gamma_unity,0,12.400030854425076,12.539480343714795,5.194103410332918,5.291590299220411,339.51879692077637
p_gamma_unity,0.2,12.301419774662412,12.624109566150342,5.152275694919063,5.429837618299763,343.90056014060974
p_gamma_unity,0.5,12.36075367160657,12.585028800167649,5.150151433610589,5.171277380179461,360.5540292263031
p_gamma_unity,0.8,12.236132928855188,12.583218453076505,5.104344732506018,5.413454827414812,362.46634316444397
p_gamma_unity,1,12.426175816588843,12.870589226222915,5.073092053987618,5.408384445121648,340.3968629837036
sensitivity_likelihood_independent,1,12.230218723258941,12.697207608096315,5.063322812191315,5.427209582944959,362.9491901397705
sensitivity_likelihood_independent,3,12.241669773675156,12.819952410483713,5.117692399436574,5.425723069578855,358.3434417247772
sensitivity_likelihood_independent,5,12.33076443050961,12.577540662849533,5.168380576107779,5.143518050074929,348.37694001197815
sensitivity_likelihood_independent,8,12.393892046053157,12.648133964764774,5.247805507162039,5.303937338577195,363.94305300712585
sensitivity_likelihood_dependent,0.2,21.45450852262646,21.25202628661228,7.461039141065172,7.3686922864348166,368.6381199359894
sensitivity_likelihood_dependent,0.4,21.80054762539194,21.626755475570597,7.6174307673538895,7.4893685680681825,366.42201709747314
sensitivity_likelihood_dependent,0.6,21.064125530203857,22.25549649991658,7.325151755771858,7.943974521730614,355.80402398109436
sensitivity_likelihood_dependent,0.8,21.10825953657102,21.650265577267916,7.330711003167757,7.5959163479335245,345.7191789150238
burnin_factor,2,12.438195997316173,12.52575595527407,5.234325799999098,5.30602874380484,352.95911622047424
burnin_factor,3,12.355265694318696,12.55146388875511,5.158175935510324,5.272148095329156,362.1052541732788
burnin_factor,5,12.199439025759986,12.585958290957798,5.108108026588842,5.291924142082091,373.243665933609
