,TT,C0,beta,ETF,FC,FRAC,K2
mean,-0.08176995751904965,5.2103734152203005,1.9107006183551933,0.5099389872504958,284.5930139736871,0.4636580869810693,0.025773866868832276
25%,-2.052985999402292,2.6653589051111286,1.4153884952113047,0.2445110759227611,175.2904548017287,0.2642659092080845,0.013825005399004536
50%,-0.15757198304094266,5.255125570558168,1.8399512499490651,0.5113897231699822,292.643643842845,0.44318909753656566,0.026259916911093303
75%,1.9824659688511328,7.754467079095331,2.379720609427949,0.7694206136375512,392.9133713957228,0.6506623276146413,0.038058010949531346
